,params,Model,PCA,0
0,"{'fit_intercept': 'True', 'normalize': 'True'}",LinearRegression(),0.02,0.09394882782660606
1,"{'fit_intercept': 'True', 'normalize': 'True'}",LinearRegression(),0.8,0.09394882782660606
2,"{'fit_intercept': 'True', 'normalize': 'True'}",LinearRegression(),0.85,0.09394882782660606
3,"{'fit_intercept': 'True', 'normalize': 'True'}",LinearRegression(),0.9,0.09394882782660606
4,"{'fit_intercept': 'True', 'normalize': 'True'}",LinearRegression(),0.95,0.09394882782660606
5,"{'fit_intercept': 'True', 'normalize': 'True'}",LinearRegression(),1.0,0.09394882782660606
6,{'alpha': 0.03},Lasso(),0.02,0.09410081802303061
7,{'alpha': 0.03},Lasso(),0.8,0.09410081802303061
8,{'alpha': 0.03},Lasso(),0.85,0.09410081802303061
9,{'alpha': 0.03},Lasso(),0.9,0.09410081802303061
10,{'alpha': 0.03},Lasso(),0.95,0.09410081802303061
11,{'alpha': 0.03},Lasso(),1.0,0.09410081802303061
